Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:03,10,800000097,20,800000123,2652.70,US Dollar,2652.70,US Dollar,Credit Card,0
2022/09/01 00:08,20,800000129,1,800000043,3392.57,US Dollar,3392.57,US Dollar,Cheque,0
2022/09/01 00:09,20,800000123,20,800000151,3968.40,US Dollar,3968.40,US Dollar,Wire,0
2022/09/01 00:20,20,800000136,20,800000144,1604.62,US Dollar,1604.62,US Dollar,ACH,0
2022/09/01 01:03,10,800000085,10,800000094,1608.58,US Dollar,1608.58,US Dollar,Wire,0
2022/09/01 01:18,20,800000135,1,800000033,4161.23,US Dollar,4161.23,US Dollar,Wire,0
2022/09/01 01:40,1,800000020,1,800000050,3000.00,US Dollar,3000.00,US Dollar,ACH,0
2022/09/01 01:41,1,800000043,10,800000103,4152.66,US Dollar,4152.66,US Dollar,Credit Card,0
2022/09/01 01:43,1,800000037,20,800000149,3125.83,US Dollar,3125.83,US Dollar,Wire,0
2022/09/01 02:05,1,800000045,20,800000154,4374.60,US Dollar,4374.60,US Dollar,Cheque,0
2022/09/01 02:08,1,800000028,20,800000127,2970.89,US Dollar,2970.89,US Dollar,Cheque,0
2022/09/01 02:21,20,800000141,20,800000145,2178.83,US Dollar,2178.83,US Dollar,ACH,0
2022/09/01 02:35,20,800000134,1,800000021,4352.82,US Dollar,4352.82,US Dollar,Credit Card,0
2022/09/01 02:40,1,800000021,1,800000051,5000.00,US Dollar,5000.00,US Dollar,ACH,0
2022/09/01 03:20,1,800000025,10,800000060,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 03:31,10,800000064,1,800000048,3190.02,US Dollar,3190.02,US Dollar,Cheque,0
2022/09/01 03:40,1,800000022,1,800000052,10000.00,US Dollar,10000.00,US Dollar,ACH,0
2022/09/01 03:50,10,800000118,1,800000040,1830.84,US Dollar,1830.84,US Dollar,Credit Card,0
2022/09/01 03:50,1,800000026,10,800000061,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 03:57,20,800000133,10,800000062,3346.51,US Dollar,3346.51,US Dollar,ACH,0
2022/09/01 04:08,10,800000073,20,800000126,2986.02,US Dollar,2986.02,US Dollar,Wire,0
2022/09/01 04:12,20,800000145,10,800000062,442.69,US Dollar,442.69,US Dollar,Cheque,0
2022/09/01 04:20,1,800000027,10,800000062,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 04:22,10,800000103,1,800000034,1137.98,US Dollar,1137.98,US Dollar,Credit Card,0
2022/09/01 04:25,10,800000112,10,800000118,4559.97,US Dollar,4559.97,US Dollar,Cheque,0
2022/09/01 04:35,10,800000072,1,800000037,529.26,US Dollar,529.26,US Dollar,Wire,0
2022/09/01 04:40,1,800000023,1,800000053,2000.00,US Dollar,2000.00,US Dollar,ACH,0
2022/09/01 04:50,1,800000028,10,800000063,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 05:00,1,800000035,10,800000070,9200.50,US Dollar,9200.50,US Dollar,ACH,0
2022/09/01 05:03,10,800000118,1,800000058,2402.81,US Dollar,2402.81,US Dollar,Cheque,0
2022/09/01 05:20,1,800000041,20,800000149,3119.10,US Dollar,3119.10,US Dollar,Cheque,0
2022/09/01 05:20,1,800000029,10,800000064,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 05:29,10,800000070,20,800000150,1956.59,US Dollar,1956.59,US Dollar,ACH,0
2022/09/01 05:40,1,800000024,1,800000054,7000.00,US Dollar,7000.00,US Dollar,ACH,0
2022/09/01 05:45,1,800000036,10,800000071,9500.75,US Dollar,9500.75,US Dollar,ACH,0
2022/09/01 05:46,10,800000062,20,800000133,1719.85,US Dollar,1719.85,US Dollar,Credit Card,0
2022/09/01 05:50,1,800000030,10,800000065,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 05:57,10,800000066,10,800000062,3475.62,US Dollar,3475.62,US Dollar,Wire,0
2022/09/01 06:01,1,800000043,20,800000128,3989.40,US Dollar,3989.40,US Dollar,ACH,0
2022/09/01 06:06,20,800000135,10,800000101,369.08,US Dollar,369.08,US Dollar,ACH,0
2022/09/01 06:20,1,800000031,10,800000066,1080.00,US Dollar,1000.00,Euro,ACH,0
